user_id,days,steps_tried,correct,wrong,correct_ratio,viewed
2,1.0,2.0,2.0,0.0,1.0,10
3,1.0,4.0,4.0,4.0,0.5,192
8,1.0,11.0,9.0,21.0,0.3,156
14,1.0,1.0,0.0,1.0,0.0,9
16,3.0,23.0,23.0,27.0,0.46,651
17,1.0,1.0,0.0,2.0,0.0,13
22,3.0,20.0,20.0,11.0,0.65,492
26,1.0,7.0,7.0,16.0,0.3,32
30,1.0,2.0,2.0,0.0,1.0,512
31,2.0,6.0,4.0,5.0,0.44,34
34,2.0,9.0,9.0,4.0,0.69,1013
39,1.0,2.0,2.0,0.0,1.0,1160
43,2.0,6.0,6.0,3.0,0.67,206
44,1.0,2.0,2.0,0.0,1.0,16
46,1.0,8.0,8.0,2.0,0.8,78
49,1.0,2.0,2.0,0.0,1.0,77
50,1.0,2.0,2.0,0.0,1.0,92
54,1.0,2.0,2.0,0.0,1.0,90
60,2.0,12.0,12.0,0.0,1.0,276
63,1.0,8.0,8.0,3.0,0.73,23
66,2.0,7.0,8.0,1.0,0.89,596
67,2.0,15.0,15.0,27.0,0.36,241
68,1.0,2.0,2.0,2.0,0.5,24
70,1.0,2.0,2.0,0.0,1.0,106
73,1.0,2.0,2.0,0.0,1.0,412
75,1.0,2.0,2.0,0.0,1.0,148
76,1.0,2.0,2.0,1.0,0.67,143
80,2.0,18.0,18.0,3.0,0.86,393
89,2.0,8.0,8.0,3.0,0.73,221
91,3.0,11.0,11.0,9.0,0.55,112
94,1.0,2.0,2.0,0.0,1.0,237
95,1.0,6.0,5.0,4.0,0.56,26
96,1.0,2.0,2.0,0.0,1.0,14
97,1.0,2.0,2.0,3.0,0.4,16
100,1.0,9.0,9.0,5.0,0.64,42
101,1.0,2.0,2.0,0.0,1.0,7
104,1.0,2.0,2.0,0.0,1.0,129
108,1.0,2.0,2.0,0.0,1.0,20
111,1.0,8.0,9.0,10.0,0.47,403
115,1.0,7.0,8.0,1.0,0.89,122
120,1.0,2.0,2.0,0.0,1.0,10
121,1.0,2.0,4.0,0.0,1.0,67
127,2.0,8.0,7.0,7.0,0.5,57
129,1.0,2.0,2.0,0.0,1.0,120
130,1.0,2.0,2.0,0.0,1.0,17
133,1.0,8.0,6.0,24.0,0.2,40
138,3.0,10.0,9.0,9.0,0.5,128
144,1.0,2.0,2.0,0.0,1.0,12
152,1.0,2.0,2.0,2.0,0.5,12
157,1.0,9.0,10.0,5.0,0.67,915
166,2.0,8.0,10.0,7.0,0.59,665
169,1.0,1.0,1.0,0.0,1.0,169
171,2.0,2.0,1.0,9.0,0.1,16
175,1.0,2.0,3.0,0.0,1.0,35
176,1.0,2.0,2.0,0.0,1.0,8
179,1.0,1.0,1.0,0.0,1.0,2
183,3.0,27.0,27.0,23.0,0.54,136
184,1.0,2.0,2.0,0.0,1.0,13
192,1.0,2.0,3.0,0.0,1.0,6
196,1.0,2.0,2.0,0.0,1.0,35
202,3.0,72.0,75.0,103.0,0.42,368
215,2.0,15.0,15.0,6.0,0.71,46
219,1.0,2.0,2.0,0.0,1.0,27
220,2.0,5.0,5.0,2.0,0.71,490
223,1.0,2.0,2.0,0.0,1.0,10
225,1.0,3.0,3.0,0.0,1.0,33
226,1.0,28.0,26.0,23.0,0.53,393
227,4.0,16.0,14.0,16.0,0.47,364
229,4.0,16.0,16.0,10.0,0.62,120
230,1.0,2.0,2.0,0.0,1.0,508
231,2.0,28.0,28.0,13.0,0.68,97
232,1.0,2.0,2.0,0.0,1.0,46
239,2.0,6.0,6.0,0.0,1.0,27
240,1.0,5.0,5.0,6.0,0.45,35
246,1.0,2.0,2.0,0.0,1.0,425
250,3.0,12.0,12.0,33.0,0.27,64
251,2.0,36.0,37.0,18.0,0.67,131
258,1.0,1.0,1.0,0.0,1.0,4
259,1.0,1.0,1.0,0.0,1.0,13
263,4.0,19.0,19.0,5.0,0.79,64
277,1.0,2.0,2.0,0.0,1.0,19
279,2.0,5.0,5.0,0.0,1.0,416
282,1.0,2.0,2.0,0.0,1.0,22
284,3.0,16.0,16.0,5.0,0.76,387
290,1.0,2.0,2.0,0.0,1.0,44
294,1.0,2.0,2.0,0.0,1.0,119
296,1.0,2.0,2.0,0.0,1.0,254
297,1.0,2.0,3.0,1.0,0.75,29
299,2.0,16.0,15.0,15.0,0.5,84
302,1.0,2.0,2.0,0.0,1.0,44
307,1.0,1.0,1.0,0.0,1.0,4
313,2.0,2.0,2.0,0.0,1.0,34
316,2.0,9.0,9.0,7.0,0.56,59
322,1.0,4.0,4.0,9.0,0.31,37
323,2.0,9.0,6.0,36.0,0.14,52
332,1.0,9.0,9.0,1.0,0.9,76
334,2.0,7.0,7.0,11.0,0.39,36
336,2.0,29.0,30.0,22.0,0.58,163
340,1.0,1.0,1.0,0.0,1.0,13
345,1.0,2.0,1.0,5.0,0.17,17
350,2.0,12.0,11.0,26.0,0.3,54
353,2.0,6.0,6.0,6.0,0.5,37
357,1.0,2.0,2.0,2.0,0.5,12
361,2.0,9.0,10.0,19.0,0.34,131
368,1.0,2.0,2.0,0.0,1.0,18
379,2.0,17.0,17.0,21.0,0.45,173
383,2.0,9.0,10.0,7.0,0.59,1017
385,1.0,6.0,3.0,13.0,0.19,37
387,2.0,9.0,9.0,7.0,0.56,60
394,1.0,2.0,2.0,1.0,0.67,14
395,3.0,8.0,8.0,8.0,0.5,291
397,1.0,2.0,2.0,0.0,1.0,20
399,1.0,3.0,3.0,0.0,1.0,476
404,1.0,1.0,0.0,1.0,0.0,48
410,1.0,3.0,2.0,2.0,0.5,329
413,1.0,5.0,5.0,0.0,1.0,59
420,2.0,11.0,10.0,7.0,0.59,64
422,4.0,18.0,17.0,38.0,0.31,565
427,1.0,7.0,7.0,1.0,0.88,22
428,3.0,4.0,3.0,12.0,0.2,138
432,1.0,2.0,2.0,0.0,1.0,11
433,1.0,1.0,1.0,1.0,0.5,5
434,2.0,4.0,4.0,11.0,0.27,47
437,3.0,24.0,23.0,10.0,0.7,410
438,1.0,7.0,7.0,19.0,0.27,36
439,2.0,8.0,8.0,24.0,0.25,118
440,1.0,4.0,4.0,0.0,1.0,36
442,3.0,7.0,7.0,23.0,0.23,348
443,2.0,7.0,7.0,1.0,0.88,674
444,1.0,1.0,1.0,0.0,1.0,28
445,1.0,2.0,2.0,0.0,1.0,76
446,2.0,5.0,5.0,7.0,0.42,246
450,1.0,1.0,1.0,0.0,1.0,15
453,1.0,8.0,8.0,0.0,1.0,359
463,1.0,2.0,2.0,0.0,1.0,6
468,1.0,2.0,2.0,0.0,1.0,11
472,2.0,11.0,11.0,20.0,0.35,451
477,1.0,1.0,1.0,0.0,1.0,94
481,1.0,4.0,4.0,0.0,1.0,31
482,1.0,4.0,4.0,1.0,0.8,121
488,3.0,6.0,6.0,0.0,1.0,418
489,1.0,3.0,3.0,0.0,1.0,20
490,2.0,15.0,15.0,5.0,0.75,90
493,1.0,1.0,1.0,1.0,0.5,47
495,1.0,2.0,2.0,2.0,0.5,10
496,3.0,30.0,26.0,42.0,0.38,209
501,1.0,10.0,10.0,5.0,0.67,48
502,1.0,2.0,2.0,0.0,1.0,152
505,1.0,8.0,8.0,13.0,0.38,35
506,1.0,7.0,7.0,19.0,0.27,119
508,2.0,12.0,10.0,32.0,0.24,366
509,1.0,5.0,5.0,4.0,0.56,128
512,2.0,9.0,9.0,2.0,0.82,141
517,1.0,2.0,2.0,0.0,1.0,38
